m,CM block_m=32 block_n=32 block_k=32,CM block_m=32 block_n=32 block_k=64,CM block_m=32 block_n=32 block_k=128,CM block_m=32 block_n=32 block_k=256,CM block_m=32 block_n=64 block_k=32,CM block_m=32 block_n=64 block_k=64,CM block_m=32 block_n=64 block_k=128,CM block_m=32 block_n=64 block_k=256,CM block_m=32 block_n=128 block_k=32,CM block_m=32 block_n=128 block_k=64,CM block_m=32 block_n=128 block_k=128,CM block_m=32 block_n=256 block_k=32,CM block_m=32 block_n=256 block_k=64,CM block_m=64 block_n=32 block_k=32,CM block_m=64 block_n=32 block_k=64,CM block_m=64 block_n=32 block_k=128,CM block_m=64 block_n=32 block_k=256,CM block_m=64 block_n=64 block_k=32,CM block_m=64 block_n=64 block_k=64,CM block_m=64 block_n=64 block_k=128,CM block_m=64 block_n=128 block_k=32,CM block_m=64 block_n=128 block_k=64,CM block_m=64 block_n=256 block_k=32,CM block_m=128 block_n=32 block_k=32,CM block_m=128 block_n=32 block_k=64,CM block_m=128 block_n=32 block_k=128,CM block_m=128 block_n=64 block_k=32,CM block_m=128 block_n=64 block_k=64,CM block_m=128 block_n=128 block_k=32,CM block_m=256 block_n=32 block_k=32,CM block_m=256 block_n=32 block_k=64,CM block_m=256 block_n=64 block_k=32
1.000000,0.516613,0.707951,0.855083,0.942480,0.424770,0.526092,0.597333,0.763632,0.289891,0.353975,0.477867,0.191157,0.250171,0.498643,0.591175,0.590985,0.764587,0.274373,0.367590,0.562196,0.203348,0.201915,0.107185,0.351804,0.362937,0.551385,0.202629,0.204094,0.106985,0.201207,0.341587,0.106985
2.000000,0.882215,1.170286,1.364826,1.509053,0.647955,0.831072,0.970647,0.980239,0.429543,0.523690,0.562196,0.291827,0.294166,0.686754,0.896000,1.158465,1.433600,0.426597,0.523690,0.955733,0.281789,0.399610,0.213175,0.505233,0.716800,1.071850,0.279131,0.406695,0.213175,0.399610,0.678627,0.213572
4.000000,1.539436,2.048000,2.364701,2.389333,1.028592,1.381783,1.433600,1.415901,0.697191,0.757016,0.793689,0.428740,0.436907,1.270781,1.638400,2.187789,2.293760,0.793689,1.037900,1.407215,0.556738,0.699317,0.389433,0.913849,1.415901,2.048000,0.556611,0.810516,0.423985,0.790952,1.318253,0.424918
8.000000,2.520615,3.423522,3.584000,3.556217,1.731140,2.012070,2.020934,2.012070,1.052033,1.105427,1.188477,0.626710,0.631890,2.237815,3.018416,3.501924,3.449263,1.306986,1.880131,2.012898,0.984446,1.050001,0.610855,1.699082,2.730667,3.230648,1.110780,1.592889,0.829570,1.571068,2.414484,0.847970
16.000000,4.986435,6.746353,7.112435,7.003848,3.449263,3.989148,4.022486,4.006568,2.094758,2.200332,2.364701,1.248305,1.260308,4.307530,5.957818,6.898527,6.796326,2.755267,3.731113,4.006568,1.968893,2.094758,1.215237,3.259339,5.429018,6.416112,2.216193,3.174754,1.653160,3.131413,4.803686,1.692812
32.000000,8.370671,12.233386,12.743111,12.655228,6.284274,7.224441,7.281778,7.266459,3.791339,3.937917,4.348360,2.221559,2.262649,8.622651,11.762872,13.492706,13.297159,5.494036,7.399226,7.943758,3.929353,4.151602,2.427259,6.747903,10.668651,12.568547,4.411077,6.305869,3.300374,6.220366,9.507813,3.379389
64.000000,16.096561,20.734554,21.213966,20.734554,11.327210,12.072422,12.440732,12.192744,6.646698,6.873896,7.196110,3.735088,3.707028,15.751142,20.971521,23.525744,23.102294,10.138166,13.443281,14.115446,7.182028,7.375295,4.312592,12.315490,20.388977,23.987033,8.697364,12.315490,6.530278,12.233386,18.258786,6.684911
128.000000,27.698233,31.775031,31.775031,31.638068,17.946288,19.015627,18.724572,19.784453,10.352655,10.194489,11.344718,5.489926,5.646178,28.449738,36.734600,38.631746,35.980550,19.366839,22.446582,21.786570,12.611739,12.940390,7.140109,23.601388,36.517572,39.891477,16.873637,23.009504,12.547064,23.601388,33.825033,13.060556
256.000000,39.356741,38.944006,44.217061,43.561020,23.908898,24.713913,26.886563,26.739644,13.345513,13.517554,14.692460,9.155013,8.945804,48.609483,56.461784,56.679785,56.461784,32.550031,34.460243,36.884583,19.652027,20.360699,11.379894,43.304025,62.735315,55.188213,31.908845,40.000174,22.866143,43.432140,57.795525,25.043290
512.000000,43.625747,45.100042,47.202777,42.244789,26.788439,28.616109,30.237001,28.149691,17.280829,18.174020,18.665053,14.135834,14.011037,67.339743,67.185646,73.954983,68.274407,34.828146,43.228312,47.817797,24.466772,24.284638,17.030237,75.089840,73.217277,80.659691,56.570575,44.552545,28.015391,76.062508,72.494143,47.585298
